freq	dB(S(2,3))
9.80000000000000071E8	-2.06210141147079851E1
9.84999999999999964E8	-2.07619988466077210E1
9.90000000000000036E8	-2.09027532806890193E1
9.94999999999999929E8	-2.10431051046866369E1
1.00000000000000000E9	-2.11828659981588574E1
1.00500000000000012E9	-2.13218308280483626E1
1.01000000000000001E9	-2.14597769145307504E1
1.01500000000000012E9	-2.15964633960355368E1
1.02000000000000002E9	-2.17316307267104136E1
1.02499999999999991E9	-2.18650003439665319E1
1.03000000000000003E9	-2.19962745478627753E1
1.03499999999999992E9	-2.21251366376674508E1
1.04000000000000004E9	-2.22512513536109591E1
1.04499999999999993E9	-2.23742656731819078E1
1.05000000000000004E9	-2.24938100108341876E1
1.05500000000000016E9	-2.26094998671441472E1
1.06000000000000005E9	-2.27209379677594114E1
1.06499999999999995E9	-2.28277169234513222E1
1.06999999999999984E9	-2.29294224298537230E1
1.07499999999999996E9	-2.30256370088775153E1
1.08000000000000007E9	-2.31159442734258569E1
1.08499999999999996E9	-2.31999336733362727E1
1.09000000000000008E9	-2.32772056542823025E1
1.09499999999999997E9	-2.33473771339475400E1
1.10000000000000009E9	-2.34100871728117976E1
1.10499999999999998E9	-2.34650026923719990E1
1.10999999999999988E9	-2.35118240737514572E1
1.11499999999999999E9	-2.35502904566059668E1
1.11999999999999988E9	-2.35801845539311206E1
1.12500000000000000E9	-2.36013368041975236E1
1.13000000000000012E9	-2.36136286988258925E1
1.13500000000000001E9	-2.36169951500571029E1
1.14000000000000012E9	-2.36114258004925848E1
1.14500000000000002E9	-2.35969652187497658E1
1.14999999999999991E9	-2.35737119728473354E1
1.15500000000000003E9	-2.35418166207127921E1
1.15999999999999992E9	-2.35014787021350280E1
1.16500000000000004E9	-2.34529428554211794E1
1.16999999999999993E9	-2.33964942124581743E1
1.17500000000000004E9	-2.33324532461938272E1
1.18000000000000016E9	-2.32611702541020016E1
1.18500000000000005E9	-2.31830196602975702E1
1.18999999999999995E9	-2.30983943087757337E1
1.19499999999999984E9	-2.30076999025196027E1
1.19999999999999996E9	-2.29113497200710725E1
1.20500000000000007E9	-2.28097597148026798E1
1.20999999999999996E9	-2.27033440746536552E1
1.21500000000000008E9	-2.25925112933078731E1
1.21999999999999997E9	-2.24776607791043537E1
1.22500000000000009E9	-2.23591800063765644E1
1.22999999999999998E9	-2.22374421959800506E1
1.23499999999999988E9	-2.21128044977004201E1
1.23999999999999999E9	-2.19856066369462289E1
1.24499999999999988E9	-2.18561699813212096E1
1.25000000000000000E9	-2.17247969788997475E1
1.25500000000000012E9	-2.15917709187871898E1
1.26000000000000001E9	-2.14573559653076540E1
1.26500000000000012E9	-2.13217974194233184E1
1.27000000000000002E9	-2.11853221642988254E1
1.27499999999999991E9	-2.10481392558938252E1
1.28000000000000003E9	-2.09104406237768359E1
1.28499999999999992E9	-2.07724018517547693E1
1.29000000000000004E9	-2.06341830122169823E1
1.29499999999999993E9	-2.04959295321684065E1
1.30000000000000004E9	-2.03577730726873751E1
1.30500000000000016E9	-2.02198324069396085E1
1.31000000000000005E9	-2.00822142848911822E1
1.31499999999999995E9	-1.99450142754886350E1
1.31999999999999984E9	-1.98083175793299793E1
1.32499999999999996E9	-1.96721998067609394E1
1.33000000000000007E9	-1.95367277179258947E1
1.33499999999999996E9	-1.94019599226170958E1
1.34000000000000008E9	-1.92679475388323596E1
1.34499999999999997E9	-1.91347348098032866E1
1.35000000000000009E9	-1.90023596799239414E1
1.35499999999999998E9	-1.88708543305230103E1
1.35999999999999988E9	-1.87402456768051939E1
1.36499999999999999E9	-1.86105558275628313E1
1.36999999999999988E9	-1.84818025094464522E1
1.37500000000000000E9	-1.83539994576999210E1
1.38000000000000012E9	-1.82271567753255748E1
1.38500000000000001E9	-1.81012812626605712E1
1.39000000000000012E9	-1.79763767193274626E1
1.39500000000000002E9	-1.78524442204767619E1
1.39999999999999991E9	-1.77294823691767389E1
1.40500000000000003E9	-1.76074875267274034E1
1.40999999999999992E9	-1.74864540225908693E1
1.41500000000000004E9	-1.73663743455377384E1
1.41999999999999993E9	-1.72472393175158212E1
1.42500000000000004E9	-1.71290382516527262E1
1.43000000000000016E9	-1.70117590957104103E1
1.43500000000000005E9	-1.68953885622191935E1
1.43999999999999995E9	-1.67799122464310946E1
1.44499999999999984E9	-1.66653147331488549E1
1.44999999999999996E9	-1.65515796934076964E1
1.45500000000000007E9	-1.64386899719123791E1
1.45999999999999996E9	-1.63266276660622855E1
1.46500000000000008E9	-1.62153741973317733E1
1.46999999999999997E9	-1.61049103757126200E1
1.47500000000000009E9	-1.59952164578691436E1
1.47999999999999998E9	-1.58862721996047185E1
1.48499999999999988E9	-1.57780569031904871E1
1.48999999999999999E9	-1.56705494600633033E1
1.49499999999999988E9	-1.55637283893594658E1
1.50000000000000000E9	-1.54575718727139622E1


