freq	dB(S(2,1))
9.05000000000000071E8	-3.08930657398588071E0
9.09999999999999964E8	-3.08742933346959170E0
9.15000000000000036E8	-3.08559313062101737E0
9.19999999999999929E8	-3.08379837627247477E0
9.25000000000000000E8	-3.08204546857969408E0
9.30000000000000071E8	-3.08033479277200195E0
9.34999999999999964E8	-3.07866672091409166E0
9.40000000000000036E8	-3.07704161167998302E0
9.44999999999999929E8	-3.07545981013933378E0
9.50000000000000000E8	-3.07392164755663888E0
9.55000000000000071E8	-3.07242744120355615E0
9.59999999999999964E8	-3.07097749418463994E0
9.65000000000000036E8	-3.06957209527695518E0
9.69999999999999929E8	-3.06821151878363496E0
9.75000000000000000E8	-3.06689602440190345E0
9.80000000000000071E8	-3.06562585710556545E0
9.84999999999999964E8	-3.06440124704236982E0
9.90000000000000036E8	-3.06322240944637336E0
9.94999999999999929E8	-3.06208954456555027E0
1.00000000000000000E9	-3.06100283760472047E0
1.00500000000000012E9	-3.05996245868408945E0
1.01000000000000001E9	-3.05896856281336227E0
1.01500000000000012E9	-3.05802128988168676E0
1.02000000000000002E9	-3.05712076466336846E0
1.02499999999999991E9	-3.05626709683953202E0
1.03000000000000003E9	-3.05546038103570083E0
1.03499999999999992E9	-3.05470069687526502E0
1.04000000000000004E9	-3.05398810904898799E0
1.04499999999999993E9	-3.05332266740025782E0
1.05000000000000004E9	-3.05270440702628543E0
1.05500000000000016E9	-3.05213334839499195E0
1.06000000000000005E9	-3.05160949747751875E0
1.06499999999999995E9	-3.05113284589624811E0
1.06999999999999984E9	-3.05070337108816148E0
1.07499999999999996E9	-3.05032103648332820E0
1.08000000000000007E9	-3.04998579169835304E0
1.08499999999999996E9	-3.04969757274451458E0
1.09000000000000008E9	-3.04945630225033293E0
1.09499999999999997E9	-3.04926188969832301E0
1.10000000000000009E9	-3.04911423167560036E0
1.10499999999999998E9	-3.04901321213794230E0
1.10999999999999988E9	-3.04895870268706659E0
1.11499999999999999E9	-3.04895056286064392E0
1.11999999999999988E9	-3.04898864043466400E0
1.12500000000000000E9	-3.04907277173775126E0
1.13000000000000012E9	-3.04920278197689010E0
1.13500000000000001E9	-3.04937848557421010E0
1.14000000000000012E9	-3.04959968651414481E0
1.14500000000000002E9	-3.04986617870058296E0
1.14999999999999991E9	-3.05017774632342142E0
1.15500000000000003E9	-3.05053416423383528E0
1.15999999999999992E9	-3.05093519832779947E0
1.16500000000000004E9	-3.05138060593717064E0
1.16999999999999993E9	-3.05187013622758929E0
1.17500000000000004E9	-3.05240353060272307E0
1.18000000000000016E9	-3.05298052311394574E0
1.18500000000000005E9	-3.05360084087479766E0
1.18999999999999995E9	-3.05426420447952385E0
1.19499999999999984E9	-3.05497032842485527E0
1.19999999999999996E9	-3.05571892153420244E0
1.20500000000000007E9	-3.05650968738352180E0
1.20999999999999996E9	-3.05734232472789103E0
1.21500000000000008E9	-3.05821652792804199E0
1.21999999999999997E9	-3.05913198737580272E0
1.22500000000000009E9	-3.06008838991763632E0
1.22999999999999998E9	-3.06108541927522992E0
1.23499999999999988E9	-3.06212275646222043E0
1.23999999999999999E9	-3.06320008019601131E0
